layer,level,class,id,metric,value
1,landscape,NA,NA,ai,89.01714380080811
1,landscape,NA,NA,area_cv,10071.050088404325
1,landscape,NA,NA,area_mn,6.835080833874599
1,landscape,NA,NA,area_sd,688.3644143624349
1,landscape,NA,NA,cai_cv,243.05777834406723
1,landscape,NA,NA,cai_mn,5.746364769729791
1,landscape,NA,NA,cai_sd,13.966986544851405
1,landscape,NA,NA,circle_cv,30.983624006049972
1,landscape,NA,NA,circle_mn,0.5193262492731271
1,landscape,NA,NA,circle_sd,0.16090609243950751
1,landscape,NA,NA,cohesion,99.60041380074793
1,landscape,NA,NA,condent,0.6581335933896093
1,landscape,NA,NA,contag,58.04521175351126
1,landscape,NA,NA,contig_cv,108.66726055010851
1,landscape,NA,NA,contig_mn,0.23462571805460622
1,landscape,NA,NA,contig_sd,0.2549613403559619
1,landscape,NA,NA,core_cv,12375.324740844244
1,landscape,NA,NA,core_mn,5.057736384585955
1,landscape,NA,NA,core_sd,625.911302128347
1,landscape,NA,NA,dcad,6.816309943235342
1,landscape,NA,NA,dcore_cv,1792.3176168071018
1,landscape,NA,NA,dcore_mn,0.46590029450756737
1,landscape,NA,NA,dcore_sd,8.3504130552153
1,landscape,NA,NA,division,0.909747980315241
1,landscape,NA,NA,ed,73.19625759161102
1,landscape,NA,NA,enn_cv,137.3908756632806
1,landscape,NA,NA,enn_mn,140.56314085697994
1,landscape,NA,NA,enn_sd,193.12093008321528
1,landscape,NA,NA,ent,1.6975060323636844
1,landscape,NA,NA,frac_cv,5.658768233572719
1,landscape,NA,NA,frac_mn,1.0491656743837432
1,landscape,NA,NA,frac_sd,0.05936985389957624
1,landscape,NA,NA,gyrate_cv,421.8070134819317
1,landscape,NA,NA,gyrate_mn,38.79178734519836
1,landscape,NA,NA,gyrate_sd,163.6264796770431
1,landscape,NA,NA,iji,69.79850888295563
1,landscape,NA,NA,joinent,2.3556396257532937
1,landscape,NA,NA,lpi,27.315108194845266
1,landscape,NA,NA,lsi,162.23511293634496
1,landscape,NA,NA,mesh,69331.7432175028
1,landscape,NA,NA,msidi,0.8400489025400721
1,landscape,NA,NA,msiei,0.43169973852487137
1,landscape,NA,NA,mutinf,1.039372438974075
1,landscape,NA,NA,ndca,52363
1,landscape,NA,NA,np,112391
1,landscape,NA,NA,pafrac,1.4019176030247817
1,landscape,NA,NA,para_cv,36.739460798203716
1,landscape,NA,NA,para_mn,0.09886633657253356
1,landscape,NA,NA,para_sd,0.036322958967686114
1,landscape,NA,NA,pd,14.630404881885365
1,landscape,NA,NA,pladj,89.01351812833165
1,landscape,NA,NA,pr,7
1,landscape,NA,NA,prd,9.11219173894685e-4
1,landscape,NA,NA,relmutinf,0.6122938117202481
1,landscape,NA,NA,rpr,NA
1,landscape,NA,NA,shape_cv,53.15037565437008
1,landscape,NA,NA,shape_mn,1.3477644813361433
1,landscape,NA,NA,shape_sd,0.7163418847663328
1,landscape,NA,NA,shdi,1.1764663716594157
1,landscape,NA,NA,shei,0.6045841182495288
1,landscape,NA,NA,sidi,0.5683105877958914
1,landscape,NA,NA,siei,0.6630290190952066
1,landscape,NA,NA,split,11.080084451216678
1,landscape,NA,NA,ta,768201.57
1,landscape,NA,NA,tca,568444.0499999999
1,landscape,NA,NA,te,56229480
