PLOT,n,max,min,cancov,rpc1,zmean,zmean_c,z_kurt,z_skew,cv,cv_c,quad_mean,quad_mean_c,h10,h20,h30,h40,h50,h60,h70,h80,h90,h95,h99,hvol,d10,d20,d30,d40,d50,d60,d70,d80,d90,L2,L3,L4,L_cv,L_skew,L_kurt,agb_mgha
194,2614,15.831,0,0.223794950267789,0.779265493496557,1.71736954858454,7.66722711267606,3.75350206499002,2.17570754968149,2.09157566626117,0.484330985782608,3.98082231175109,8.51774589439477,0,0,0,0,0,0,0.054,3.331,7.086,11.1412,14.32224,0.384338632716893,0.23335883703137,0.205049732211171,0.153404743687835,0.116679418515685,0.0899005355776588,0.0700076511094109,0.0512624330527927,0.0306044376434583,0.0114766641162969,1.43121772340112,0.971043426312275,0.501588045338225,0.833377839138193,0.678473589612001,0.350462432889847,23.5495270946633
251,9697,24.243,0,0.668557285758482,0.356708260286687,7.42038640816748,11.2027566718995,-1.29565371369161,0.218396627546718,0.865768852774313,0.408845149393189,9.81478554801435,12.1027529584647,0,0,0.109,4.238,7.329,9.9466,12.1272,13.9128,16.0472,17.5206,20.46712,4.96095339632358,0.659688563473239,0.583479426626792,0.501289058471692,0.41022996803135,0.300299061565433,0.166236980509436,0.0694029081159121,0.018356192636898,0.00216561823244302,3.63691759085352,0.340266616812698,-0.25559052600486,0.490125094678419,0.0935590670705418,-0.0702766888773186,72.2634146871983
617,5681,26.005,0,0.665903890160183,0.442351698644605,10.2303712374582,15.445278207522,-1.49702484619071,-0.056498698276015,0.814839750292824,0.325251226687026,13.1961754260676,16.2415024233348,0,0,0.074,7.964,12.328,14.518,16.357,18.247,20.857,22.522,24.2408,6.8124440048062596,0.658686850906531,0.632459074106671,0.602710790353811,0.555359971835944,0.473684210526316,0.344481605351171,0.20137299771167,0.101566625594086,0.0276359795810597,4.69056749834511,0.0778145472163775,-0.427686106186775,0.458494358559613,0.0165895805238559,-0.0911800344708114,226.672713967309
696,2682,15.36,0,0.321029082774049,0.716256524981357,2.61095339299031,8.21251234567901,0.561369273166694,1.39612465940749,1.58528539971709,0.405645803091172,4.89314731864408,8.86169800863786,0,0,0,0,0,0,2.5541,6.5164,9.9818,11.97545,13.95476,0.83819197291747,0.342281879194631,0.282624906785981,0.249067859806115,0.208799403430276,0.16331096196868,0.118941088739746,0.0846383296047726,0.0425055928411633,0.0119313944817301,1.94979924280037,1.01010284923178,0.259201939191198,0.746776732221666,0.518054796134308,0.13293775764264,22.7359982773462
769,5424,16.8,0,0.777654867256637,0.411504424778761,5.4568709439528,7.07334509803922,-0.538002612871728,0.228184760895575,0.688182024191792,0.399166974400875,6.62399218677173,7.61591117078413,0,1.5548,3.2877,4.575,5.6165,6.457,7.434,8.6628,10.337,11.87465,14.65377,4.24356224955622,0.794616519174041,0.692846607669616,0.556784660766962,0.371865781710914,0.216998525073746,0.111725663716814,0.0519911504424779,0.0223082595870206,0.00589970501474926,2.13393339326326,0.0856262161518788,0.134711404270205,0.391054400073002,0.0401260022558329,0.0631282141680165,55.3028536148606
789,6620,22.736,0,0.730664652567976,0.430966767371601,11.1032095166163,15.2147471502591,-1.31666968805582,-0.555390618468547,0.671587668069609,0.245091070403886,13.3744685555484,15.6649634514457,0,0,6.67739999999999,12.0896,14.2935,15.6024,16.706,17.6402,18.8291,19.5591,20.85734,8.1127227238479,0.729456193353474,0.716012084592145,0.698640483383686,0.671450151057402,0.622054380664653,0.534441087613293,0.371601208459215,0.153172205438066,0.0178247734138973,4.07479868927636,-0.663944610795207,-0.250387711084624,0.366992866628184,-0.162939242260608,-0.0614478726872003,147.261297951559
921,4456,23.549,0,0.614901256732496,0.499775583482944,7.44210480251347,12.2291867762421,-1.21444084073193,0.480624642131481,0.985703297013836,0.462101224259344,10.4491840913237,13.4713125435588,0,0,0.059,2.53,5.769,9.071,12.2855,15.495,18.7265,20.16025,21.72775,4.57615959580047,0.605026929982047,0.533438061041293,0.454892280071813,0.388464991023339,0.316427289048474,0.243940754039497,0.171454219030521,0.0973967684021544,0.0222172351885099,4.08694569286522,0.781275596679978,-0.27444135274078,0.549165296823677,0.191163684421814,-0.0671507216794895,112.66864892468
972,3893,22.187,0,0.499871564346263,0.572566144361675,5.10303827382481,10.3253572181243,-0.463373423390871,0.905481527645113,1.20564159231021,0.47671079207139,7.99273014567663,11.4380234382922,0,0,0,0.0968000000000002,1.999,5.1432,8.06719999999999,11.1132,15.337,17.7456,19.9252,2.55086372485566,0.494477266889289,0.4287182121757,0.34523503724634,0.273824813768302,0.200873362445415,0.137426149499101,0.0937580272283586,0.0495761623426663,0.0100179809915232,3.24725102557123,1.09143128230028,-0.00253250481857967,0.636336796105856,0.336109304056122,-7.79891914310556e-4,50.8372908428855
1054,4346,26.205,0,0.545098941555453,0.668200644270594,9.3162335480902,17.2035289608177,-1.66300775705838,0.207449890970311,0.998609780908977,0.289384669305925,13.1652325203371,17.9090952678648,0,0,0,0,9.0755,14.326,17.1895,19.61,21.773,23.09575,24.95065,5.07826904634737,0.539346525540727,0.525310630464795,0.508513575701795,0.484583525080534,0.433502070869765,0.360101242521859,0.25356649792913,0.13759779107225,0.0358950759318914,5.08232683228681,0.699095364442346,-0.729449892362857,0.545534502334226,0.137554192697951,-0.143526757808812,112.636092640627
1691,4824,21.408,0,0.544776119402985,0.599295190713101,7.45279436152571,13.6851161364507,-1.60772676617896,0.250562282783014,0.997630361569124,0.305776880927646,10.5268181699687,14.3103634910399,0,0,0.048,0.129,7.0065,10.9796,13.666,15.766,17.7577,18.73585,20.13031,4.06010439098042,0.544154228855721,0.523424543946932,0.506633499170813,0.473051409618574,0.409618573797678,0.333540630182421,0.240049751243781,0.126658374792703,0.0294361525704809,4.0826520061418,0.603915301821247,-0.544202830389352,0.547801510158133,0.147922306606769,-0.133296403800929,53.5325716908374
