layer,level,class,id,metric,value
1,landscape,NA,NA,ai,91.676011411266
1,landscape,NA,NA,area_cv,8441.809310822237
1,landscape,NA,NA,area_mn,10.64965138551909
1,landscape,NA,NA,area_sd,899.02326223286
1,landscape,NA,NA,cai_cv,297.1250244378394
1,landscape,NA,NA,cai_mn,4.870806446949948
1,landscape,NA,NA,cai_sd,14.47238484581989
1,landscape,NA,NA,circle_cv,31.71232075123898
1,landscape,NA,NA,circle_mn,0.49317472356472036
1,landscape,NA,NA,circle_sd,0.1563971502008803
1,landscape,NA,NA,cohesion,99.80058370444127
1,landscape,NA,NA,condent,0.48540385290015475
1,landscape,NA,NA,contag,68.8996042493827
1,landscape,NA,NA,contig_cv,131.80238655508242
1,landscape,NA,NA,contig_mn,0.18545101243731202
1,landscape,NA,NA,contig_sd,0.24442886028293995
1,landscape,NA,NA,core_cv,9325.169861854
1,landscape,NA,NA,core_mn,8.438445281573234
1,landscape,NA,NA,core_sd,786.899356206308
1,landscape,NA,NA,dcad,3.2252196770595534
1,landscape,NA,NA,dcore_cv,2014.7247586127073
1,landscape,NA,NA,dcore_mn,0.3434746520240071
1,landscape,NA,NA,dcore_sd,6.920068853886514
1,landscape,NA,NA,division,0.772468811853475
1,landscape,NA,NA,ed,55.40755937054167
1,landscape,NA,NA,enn_cv,154.34737205772598
1,landscape,NA,NA,enn_mn,165.46707095887925
1,landscape,NA,NA,enn_sd,255.39407564592278
1,landscape,NA,NA,ent,1.2607931288685423
1,landscape,NA,NA,frac_cv,5.3660324307969285
1,landscape,NA,NA,frac_mn,1.0396704024620809
1,landscape,NA,NA,frac_sd,0.05578905096951221
1,landscape,NA,NA,gyrate_cv,538.6345631179307
1,landscape,NA,NA,gyrate_mn,35.57487199548018
1,landscape,NA,NA,gyrate_sd,191.61855635261773
1,landscape,NA,NA,iji,47.74127065200642
1,landscape,NA,NA,joinent,1.746196981768697
1,landscape,NA,NA,lpi,46.913762440133034
1,landscape,NA,NA,lsi,81.78589976629446
1,landscape,NA,NA,mesh,75902.05624381904
1,landscape,NA,NA,msidi,0.7170966289483395
1,landscape,NA,NA,msiei,0.36851476893548785
1,landscape,NA,NA,mutinf,0.7753892759683876
1,landscape,NA,NA,ndca,10759
1,landscape,NA,NA,np,31324
1,landscape,NA,NA,pafrac,1.3791184098949905
1,landscape,NA,NA,para_cv,32.94774628731568
1,landscape,NA,NA,para_mn,0.10600346090389001
1,landscape,NA,NA,para_sd,0.03492575135438755
1,landscape,NA,NA,pd,9.389978730756896
1,landscape,NA,NA,pladj,91.68112189201403
1,landscape,NA,NA,pr,7
1,landscape,NA,NA,prd,0.002098386257032891
1,landscape,NA,NA,relmutinf,0.6150011910869433
1,landscape,NA,NA,rpr,NA
1,landscape,NA,NA,shape_cv,57.034971198358086
1,landscape,NA,NA,shape_mn,1.2792427620558922
1,landscape,NA,NA,shape_sd,0.7296157408956585
1,landscape,NA,NA,shdi,0.8739178196228484
1,landscape,NA,NA,shei,0.4491049188715686
1,landscape,NA,NA,sidi,0.5118324680893107
1,landscape,NA,NA,siei,0.5971378794375292
1,landscape,NA,NA,split,4.395001881482828
1,landscape,NA,NA,ta,333589.68000000005
1,landscape,NA,NA,tca,264325.86
1,landscape,NA,NA,te,18483390
