PLOT,n,max,min,cancov,rpc1,zmean,zmean_c,z_kurt,z_skew,cv,cv_c,quad_mean,quad_mean_c,h10,h20,h30,h40,h50,h60,h70,h80,h90,h95,h99,hvol,d10,d20,d30,d40,d50,d60,d70,d80,d90,L2,L3,L4,L_cv,L_skew,L_kurt,agb_mgha
614,4788,28.847,0,0.610902255639098,0.387218045112782,8.60633876357561,14.3028625261689,-1.12248456490599,0.507572002201937,1.00934813150724,0.469404706410658,12.2275778873166,15.7997365566075,0,0,0,2.4618,6.5565,10.7976,14.4573,17.651,21.4072,23.9553,27.38782,5.25763176346254,0.589807852965748,0.515664160401003,0.45843776106934,0.3734335839599,0.301169590643275,0.212197159565581,0.128654970760234,0.0647451963241437,0.0217209690893901,4.81263294900786,0.97886092242464,-0.303411318599395,0.559196318111047,0.203394053275232,-0.0630447661008398,165.983417616827
1357,8576,23.164,0,0.671991604477612,0.321245335820896,7.70193131996269,11.5178275258274,-1.29538757615244,0.190375241176308,0.8552133692074,0.402397894132118,10.1341280145862,12.4152121570715,0,0,0.0405,5.04,7.888,10.008,12.201,14.433,16.8585,18.18725,20.49525,5.1756331852781,0.66826026119403,0.615205223880597,0.535914179104478,0.44053171641791,0.330223880597015,0.22423041044776101,0.125,0.0402285447761194,0.00769589552238806,3.73331984619087,0.325980939985208,-0.241997074489682,0.484725154133023,0.0873166386528087,-0.0648208791262802,143.814151581251
2127,2223,18.256,0,0.111560953666217,0.93072424651372,1.04261898335583,9.49564166666667,10.0925081157948,3.28846345882515,3.10530303832012,0.430949071988436,3.40069152304466,10.33649023968,0,0,0,0,0,0,0,0,4.0562,9.3723,15.342,0.116315568093677,0.112010796221323,0.10391363022942,0.0881691408007198,0.0665766981556455,0.0539811066126856,0.0409356725146199,0.0274403958614485,0.0139451192082771,0.00494826810616284,0.955748234337604,0.798367340171211,0.59910711978249,0.916680253855906,0.835332267942438,0.626846169585352,2.49946112054933
2527,7632,31.45,0,0.640330188679245,0.372379454926625,8.55279730083858,13.5032293884367,-0.960819424368705,0.5013105024662,0.955692300878387,0.47073527595258,11.830185511788,14.9242481054296,0,0,0,3.7032,7.258,10.5246,13.8521,16.456,20.36,22.8519,27.12732,5.47661430938131,0.616614255765199,0.52961215932914,0.433700209643606,0.344601677148847,0.230345911949686,0.138233752620545,0.0651205450733753,0.0224056603773585,0.00628930817610063,4.56740098815943,0.813101747169257,-0.198867038229406,0.534024229442642,0.178022851349629,-0.0435405252888788,105.204498600371
2540,3638,29.961,0,0.4260582737768,0.582462891698736,5.16697278724574,12.3339993328886,-0.245616819716653,1.04826740433239,1.34779131120403,0.44415765453124,8.6707316495739,13.4951337390838,0,0,0,0,0.068,3.287,8.1627,12.4946,16.5563,19.07975,23.17408,2.20143150638562,0.404617921935129,0.351017042330951,0.280098955470038,0.209730621220451,0.141561297416163,0.0667949422759758,0.0274876305662452,0.00604727872457394,2.74876305662452e-4,3.53313366281708,1.43549515625467,0.100672779123388,0.683791807756049,0.406295173987304,0.0284939061838714,146.314571299666
3564,3405,20.13,0,0.279882525697504,0.686637298091043,2.30721262848752,8.46989910313901,2.36600163647363,1.85091344235327,1.84475106677473,0.488433363941664,4.84080869619803,9.4252118490304,0,0,0,0,0,0,1.3496,4.4704,9.5188,12.9372,15.443,0.645748497782263,0.279001468428781,0.213509544787078,0.173568281938326,0.132452276064611,0.0895741556534508,0.0596182085168869,0.031424375917768,0.00616740088105727,0.00323054331864905,1.83822633577842,1.12366565774794,0.46599669276908,0.796730354663261,0.611277096773894,0.253503436273939,56.8671948257771
3648,3290,36,0,0.2790273556231,0.727355623100304,4.78993313069909,17.1774819277108,0.232526012283179,1.39408262837099,1.75710193899501,0.380545479150185,9.68285758660909,18.3779489902931,0,0,0,0,0,0,0.056,14.2904,21.0266,22.87905,25.18366,1.33652237507045,0.259574468085106,0.245592705167173,0.221276595744681,0.198784194528875,0.153799392097264,0.0832826747720365,0.00972644376899696,6.0790273556231e-4,3.03951367781155e-4,3.73269331501061,2.1148483300156,0.627789516021684,0.779278794329604,0.566574361068178,0.168186738915061,58.8932402879831
4445,4809,28.137,0,0.607610729881472,0.390101892285298,7.92567893532959,13.1749951287404,-1.07498393709778,0.501857908717075,0.998136284367343,0.455940278607554,11.1975816132336,14.479368833107,0,0,0,2.4184,6.075,10.0466,13.5176,16.0764,19.0854,22.114,25.33592,4.81572756270182,0.592846745685174,0.513412351840299,0.441255978373882,0.364524849241006,0.273445622790601,0.173840715325432,0.0854647535870243,0.0438760657101268,0.0101892285298399,4.38815554921807,0.860007648557614,-0.264490807584897,0.553663047042871,0.19598385675067,-0.0602737994627439,93.8851250819976
4760,3791,23.276,0,0.429438142970193,0.525718807702453,5.64924558164073,13.2023747680891,-1.05531395480216,0.733715919082473,1.26501591799443,0.340132861448907,9.10886002635285,13.9447255784936,0,0,0,0,0,5.586,10.922,13.998,16.542,18.571,21.266,2.42600153176236,0.427591664468478,0.412819836454761,0.377472962279082,0.338696913743076,0.27723555790029,0.201529939329992,0.10630440517014,0.0490635716169876,0.0139804800844104,3.69703488320136,1.2546216151755,-0.171942513818918,0.654429840192506,0.33935887942964,-0.0465082205743292,149.185728039388
4818,4885,29.591,0,0.558444216990788,0.422517911975435,8.98952323439099,16.1242422680412,-1.51413334364152,0.291660290695008,1.00172575939285,0.345992895628754,12.7234279661588,17.0617571272573,0,0,0,0.055,7.833,13.087,16.425,18.923,21.2208,22.554,26.2706,5.02014726374998,0.551893551688843,0.525281473899693,0.484953940634596,0.430706243602866,0.352917093142272,0.248720573183214,0.122210849539406,0.0296827021494371,0.00839303991811668,4.95142774250011,0.780269090175073,-0.601462241831741,0.550799815896527,0.157584666636192,-0.1214724869494,127.651370355975
