PLOT,n,max,min,cancov,rpc1,zmean,zmean_c,z_kurt,z_skew,cv,cv_c,quad_mean,quad_mean_c,h10,h20,h30,h40,h50,h60,h70,h80,h90,h95,h99,hvol,d10,d20,d30,d40,d50,d60,d70,d80,d90,L2,L3,L4,L_cv,L_skew,L_kurt,agb_mgha
31,8624,29.76,0,0.773307050092764,0.652365491651206,11.125306122449,14.4994599939154,-1.28040220911501,0.0868113670332329,0.745048474377252,0.447653908697347,13.873363181295,15.8857683652094,0,0.59,5.19,8.12,11.005,14.13,16.77,19.774,22.78,24.0185,25.72,8.60327765892999,0.753594619666048,0.675208719851577,0.571776437847866,0.471706864564007,0.375,0.256493506493507,0.167555658627087,0.0572820037105751,0.00579777365491651,4.76174496218316,0.168214077502119,-0.163102460035861,0.428010241675486,0.0353261417480444,-0.0342526660564957,117.549550657121
169,3971,23.14,0,0.585998489045581,0.418786199949635,7.29278267438932,12.5250589777195,-1.30668135012137,0.43605495975863,1.00378929090709,0.423719518386337,10.3324581495761,13.6025819253969,0,0,0,0.83,5.54,9.31,12.72,15.3,18.26,19.665,21.646,4.27355962812993,0.580710148577185,0.521279274741879,0.465122135482246,0.403424830017628,0.334424578191891,0.253588516746412,0.166456811886175,0.089146310752959,0.0274490052883405,4.05966458334258,0.769270212104982,-0.343399589959365,0.556668800456544,0.18949107649469701,-0.0845881680393956,134.71011923514
180,6859,20.83,0,0.876366817320309,0.540603586528649,8.59975798221315,9.91255948334466,-0.939390711553574,-0.0375398634631446,0.587454833797862,0.422141315374465,9.97369094789239,10.7594566503112,1.048,3.76,5.39,6.972,8.91,10.41,12.01,13.334,15.082,16.281,18.89,7.53654253259706,0.872430383437819,0.77606065024056,0.642513485930894,0.530398017203674,0.399475142149001,0.261991543956845,0.123487388832191,0.0425718034698936,0.0118093016474705,2.90469329017938,-0.0442994296600632,0.107943416459714,0.337764538977392,-0.0152509835753873,0.0371617261019144,179.502115254532
234,2468,18.45,0,0.440842787682334,0.771069692058347,4.82863857374392,10.9785912882298,-1.05268583823049,0.746872435136733,1.25530821379703,0.372423004601843,7.74866395656899,11.714575413067,0,0,0,0,0,4.578,8.88,11.95,14.383,16.0665,17.5266,2.12867048955972,0.443273905996759,0.41612641815235,0.378444084278768,0.335089141004862,0.292544570502431,0.237439222042139,0.155591572123177,0.0887358184764992,0.0311993517017828,3.15341276979303,1.06792796592912,-0.144157584781895,0.653064569160331,0.338657842753396,-0.0457147843640388,64.0331252139647
302,3806,20.24,0,0.70415133998949,0.775617446137677,3.94234104046243,5.69948634325316,4.36706685201632,1.94045932458693,0.996935117274603,0.675253752288922,5.56641033710127,6.87675975921628,0,0.32,2.04,2.8,3.23,3.84,4.7,5.72,7.04,13.7275,18.7955,2.77600472633718,0.702574881765633,0.369416710457173,0.157383079348397,0.092485549132948,0.0701523909616395,0.0583289542827115,0.0470310036784025,0.0312664214398319,0.0136626379400946,1.92538906408927,0.554896161823894,0.434787527727815,0.488387241065129,0.28819949805125,0.225818010415196,0.425116583244187
317,3105,15.11,0,0.567149758454106,0.719162640901771,3.47274396135266,6.20104265402844,-0.0760413145307797,0.844789348918175,1.05295089895041,0.454900927008748,5.04247747622423,6.81215585677997,0,0,0,0.23,3.17,4.13,4.928,6.52,8.752,10.718,13.4996,1.96956589885412,0.589371980676329,0.509822866344606,0.345249597423511,0.224798711755234,0.154911433172303,0.0911433172302737,0.0534621578099839,0.028341384863124,0.00901771336553945,1.9799859284991,0.499961342744097,0.0272748254703708,0.570150276131465,0.252507523183807,0.0137752622772659,9.29836926193856
326,7350,25.48,0,0.839727891156463,0.568707482993197,7.83018231292517,9.43377049180328,0.0242652440388563,0.280722926284584,0.637888633064228,0.421509607448583,9.28742326544691,10.2374490154901,0.01,3.1,5.437,6.96,8.045,9.074,10.18,11.6,14.28,16.05,21.93,6.57522248100329,0.820680272108844,0.715102040816327,0.53891156462585,0.298095238095238,0.148163265306122,0.0719727891156463,0.0229931972789116,0.014421768707483,0.00653061224489796,2.80401644131322,0.0737252409817189,0.31019921952063,0.358103595708707,0.0262927277798666,0.110626747743088,73.1370260814514
354,6087,16.48,0,0.668966650238213,0.585345818958436,4.72570888779366,7.15872970883793,-0.49056368760008,0.598746308513069,0.878481749780145,0.450053145022211,6.28999380210799,7.85014576513602,0,0.01,1.17,3.104,4.42,5.55,6.62,8.31,10.564,13.007,14.9214,3.16134164466827,0.685723673402333,0.587152948907508,0.455725316247741,0.302776408739938,0.203548546081814,0.12978478725152,0.0763923114834894,0.0443568260226713,0.0110070642352555,2.3257416307878,0.374093186372111,0.0568890917579258,0.492146614615873,0.160848987445521,0.0244606240886077,77.9623156405961
459,5946,24.49,0,0.721493440968719,0.74201143625967,8.02898923646149,11.2616207804645,-1.14671516992339,0.365526687784165,0.845427835425003,0.488535184526471,10.5134640447051,12.5333769120969,0,0.26,2.55,4.7,7.005,9.68,12.525,15.22,17.985,19.4575,21.95,5.7928630717154,0.704507231752439,0.588967373023882,0.487554658594013,0.39656912209889,0.307433568785738,0.220652539522368,0.128321560713084,0.0460813992600067,0.00958627648839556,3.86087188537601,0.47243824142565,-0.129470716413219,0.480866491618012,0.122365687194938,-0.0335340618018487,92.5603215534607
470,7354,20.66,0,0.79398966548817,0.573565406581452,7.89122654337775,10.04,-1.07579267554243,-0.0690557653778727,0.674309079059432,0.39193243968319,9.51745685076499,10.783465622288,0,1.83,4.3,6.62,8.74,10.098,11.29,12.7,14.73,16.0535,18.5894,6.26555232346787,0.791542017949415,0.708050040794126,0.626733750339951,0.525156377481643,0.381153113951591,0.219880337231439,0.111096002175687,0.0324993200979059,0.0100625509926571,3.04727144313931,-0.0583495032645669,0.0239409574769488,0.386159417219691,-0.0191481147489949,0.00785652276919731,83.7938612343318
