PLOT,n,max,min,cancov,rpc1,zmean,zmean_c,z_kurt,z_skew,cv,cv_c,quad_mean,quad_mean_c,h10,h20,h30,h40,h50,h60,h70,h80,h90,h95,h99,hvol,d10,d20,d30,d40,d50,d60,d70,d80,d90,L2,L3,L4,L_cv,L_skew,L_kurt,agb_mgha
230,7053,29.977,0,0.935204877357153,0.409329363391465,15.0494395292783,16.1403662808407,0.13093576316668,-0.765190778506563,0.418994384171733,0.312463127981782,16.3168921843137,16.909823050124,5.2542,10.5862,12.9842,14.7238,16.146,17.455,18.8056,20.2338,22.1574,23.5266,26.08324,14.0743092492726,0.926272508152559,0.891819084077697,0.840209839784489,0.74790869133702,0.581312916489437,0.357011200907415,0.157521622004821,0.0404083368779243,0.00212675457252233,3.47923465031274,-0.559997082150503,0.484165301588183,0.231186991618125,-0.160954100092147,0.139158565101283,226.162020134146
588,7705,33.377,0,0.733290071382219,0.3425048669695,14.1122868267359,19.3100812733416,-1.34160474802146,-0.235263066923507,0.719599430412172,0.332696684320155,17.3859486718065,20.3505482555318,0,0,6.7868,13.3296,16.165,18.8302,21.6126,23.8242,26.4626,28.2034,30.6586,10.3483998145435,0.725113562621674,0.701752109020117,0.662037637897469,0.599740428293316,0.481116158338741,0.35029201817002,0.222972096041531,0.091109669046074,0.0163530175210902,5.7442645754702,-0.284809567747378,-0.295812531061489,0.407039953623081,-0.0495815546107683,-0.051497024062001,254.178293783264
1127,5513,26.139,0,0.635769998186106,0.463631416651551,8.45690186831127,13.4288004626952,-1.3304814989632,0.389828985318335,0.961349984791783,0.464767531806816,11.7305068335559,14.8079328035092,0,0,0,3.6804,6.699,10.525,14.3898,17.6196,20.4138,21.9474,24.099,5.37664448547633,0.625793578813713,0.544893887175766,0.459640848902594,0.401233448213314,0.342281879194631,0.26120079811355,0.17522220206784,0.0810810810810811,0.0146925448938872,4.54598319324136,0.748113542196318,-0.377767104332438,0.537547114064968,0.164565839862444,-0.0830990983191656,39.2184212656045
1564,6361,25.483,0,0.838232982235498,0.375569878949851,12.3459816066656,14.746312464749,-0.680005337808075,-0.710970865053062,0.544236672735458,0.293932856760086,14.055708887427,15.3700177548424,0,6.15,10.089,12.645,14.463,15.76,16.9,17.977,19.391,20.519,22.5058,10.3488089807799,0.836189278415344,0.816695488130797,0.763873604779123,0.696431378714039,0.59518943562333,0.441597233139443,0.211130325420531,0.0548655871718283,0.00707435937745638,3.71013371700981,-0.707600282511446,0.189472055276054,0.300513465450709,-0.190720964925689,0.0510687942074388,226.736808893865
1826,4559,21.328,0,0.464356218468963,0.485632814213643,4.75965979381443,10.524113188479,-0.417657871325441,0.999298594998744,1.27284902371288,0.477467209748511,7.70387257572995,11.6616469710246,0,0,0,0.111,1.471,3.205,7.182,11.494,14.6698,16.5851,19.9721,2.21017762305443,0.45558236455363,0.363676244790524,0.312568545733714,0.276595744680851,0.221759157710024,0.164948453608247,0.0934415441982891,0.0418951524457118,0.0177670541785479,3.13521905318027,1.17168870470185,0.0493920182202335,0.658706543953992,0.373718290437578,0.0157539289543841,66.5659901893427
2368,8898,24.162,0,0.852101595864239,0.282535401213756,10.8040835019105,12.8219844587353,-1.23863662836806,-0.0633650192325794,0.648922183617988,0.449585789340473,12.8793225654884,14.058066689545,0,3.6132,6.257,8.4498,10.727,13.3778,16.0902,18.232,20.3026,21.18675,22.17703,9.20617679382847,0.840863115306811,0.756911665542819,0.654753877275792,0.544391998201843,0.448415374241403,0.355248370420319,0.263991908293999,0.141717239829175,0.0225893459204316,4.03988095152199,-0.062758258651713,-0.0594107627940804,0.373921670524629,-0.0155346802058782,-0.0147060677052124,250.53165826158
3151,6628,21.772,0,0.664001207000604,0.338714544357272,7.843257996379,11.9474276787781,-1.473984724686,0.0706575443282111,0.844810862674364,0.362929978392219,10.2671743724281,12.7097704080836,0,0,0,4.9284,8.5995,10.9872,12.8275,14.6072,16.5586,17.80025,19.51768,5.20793277641279,0.660229330114665,0.613759806879903,0.55944477972239,0.495171997585999,0.404345202172601,0.286662643331322,0.165962582981292,0.0642727821363911,0.00859987929993965,3.74645480741674,0.207887417421569,-0.348861329409571,0.47766563450372,0.0554891031943107,-0.0931177199092169,204.419658654271
3197,5913,23.852,0,0.598173515981735,0.327414172163031,7.40819228817859,12.5545625361899,-1.31297239041562,0.462917587280004,1.01340836581776,0.454696884594393,10.5467861532405,13.7911135095585,0,0,0,1.9576,5.062,9.1406,12.8478,16.0566,18.5916,20.1138,22.01376,4.43138442808856,0.58650431253171,0.507864028411974,0.445290038897345,0.3913411128023,0.327921528834771,0.259428378149839,0.171655673938779,0.0821917808219178,0.0164045323862675,4.15549044993177,0.819982968953804,-0.354638650728321,0.560931775024627,0.197325196347706,-0.0853421888466002,44.0197959244806
3298,8586,24.33,0,0.641975308641975,0.357442348008386,9.12390880503145,14.2905752471622,-1.47422929831721,0.17031946029344,0.890355721497827,0.385013579192241,12.215959835962,15.3129919841663,0,0,0,4.881,9.216,12.154,15.371,18.011,20.264,21.67975,23.34165,5.8573241711313,0.637549499184719,0.600395993477755,0.556720242254833,0.484276729559749,0.399487537852318,0.321104122990915,0.244118332168647,0.134987188446308,0.0434428138830655,4.57749013273629,0.431837478019655,-0.458403471144104,0.501702749397496,0.0943393574857397,-0.100142973081644,156.963479629722
3303,6983,20.957,0,0.642417299155091,0.373908062437348,8.05801861664041,12.7218488636364,-1.61904122339331,0.125961186050218,0.895926094113255,0.383297254465958,10.8186773627698,13.6241640477248,0,0,0,3.8252,7.45,11.6588,14.507,16.1956,17.5516,18.3263,19.6559,5.17661055624358,0.640842044966347,0.588715451811542,0.531433481311757,0.479163683230703,0.432622082199628,0.37061434913361,0.292997279106401,0.153229271086925,0.0302162394386367,4.04656353501299,0.316174627471313,-0.535433410118796,0.502178479292232,0.0781341068132515,-0.13231805345102,230.482459071936
