PLOT,n,max,min,cancov,rpc1,zmean,zmean_c,z_kurt,z_skew,cv,cv_c,quad_mean,quad_mean_c,h10,h20,h30,h40,h50,h60,h70,h80,h90,h95,h99,hvol,d10,d20,d30,d40,d50,d60,d70,d80,d90,L2,L3,L4,L_cv,L_skew,L_kurt,agb_mgha
222,3889,27.69,0,0.637438930316277,0.580869118025199,10.0884314733865,15.8732737611698,-1.53465976515141,-0.0074914024280371,0.849137242251609,0.312613666559014,13.2341175059377,16.6305222488073,0,0,0.0639999999999986,6.818,11.93,14.37,16.33,18.8,21,22.282,25.0612,6.43075896696453,0.629724865003857,0.606582669066598,0.589097454358447,0.52995628696323,0.425302134224736,0.288763178194909,0.17536641810234,0.0527127796348676,0.0107996914373875,4.79706612350759,0.186529184560698,-0.50363216577768,0.47550168092655,0.0388840136362993,-0.104987538802035,223.014398709643
270,3365,23.73,0,0.628826151560178,0.570876671619614,6.80279049034175,10.9012709832134,-1.246309284534,0.301839971930361,0.91700586983898,0.394754085671933,9.22938341316588,11.719530754391,0,0,0,3.412,6.67,9.07,11.218,13.01,15.498,17.15,19.39,4.27777256391178,0.621693907875186,0.566121842496285,0.480237741456166,0.381277860326895,0.259732540861813,0.147696879643388,0.0668647845468054,0.0145616641901932,0.00297176820208024,3.50440567816209,0.4543223370829,-0.252106352612785,0.515142379165942,0.129643191686977,-0.0719398311056852,73.2967750745351
408,2162,16.16,0,0.514801110083256,0.801572617946346,3.90833950046254,7.66755258126195,-0.539413676849014,0.806129766269734,1.10285174546491,0.421868269578072,5.8176777595823,8.32133553270154,0,0,0,0.57,2.235,4.246,6.307,8.178,10.73,12.2295,14.7656,2.01201751342035,0.546253469010176,0.449121184088807,0.373265494912118,0.290009250693802,0.204902867715079,0.131359851988899,0.0753931544865865,0.0314523589269195,0.0124884366327475,2.33313562347579,0.654431349211954,-0.0313268143938623,0.596963396654683,0.28049434530386,-0.0134269152974456,25.6420878591453
520,5049,25.68,0,0.655971479500891,0.590810061398297,8.02364230540701,12.3369542523795,-1.18272756204483,0.203089557500373,0.859136482708993,0.372394428072362,10.577733245923,13.1643743902117,0,0,0.28,5.252,8.66,10.87,12.616,14.61,16.86,18.71,23.0908,5.26328051406378,0.644880174291939,0.603683897801545,0.540305010893246,0.430580312933254,0.285601109130521,0.162606456724104,0.0659536541889483,0.0332739156268568,0.00990295107942167,3.88484513181283,0.328579845501149,-0.222954727653163,0.484174765517014,0.0845799084268308,-0.057390892066043,178.3451114954
873,3461,36.7,0,0.663969950881248,0.632765096792834,9.50364056631031,14.4611845607808,-0.222317355754154,0.76569400680117,0.971109798571533,0.536167679423803,13.246526462975,16.4078580696265,0,0,0.6,4.89,8.06,11.08,13.9,17.46,22.71,27.07,33.956,6.3101317600061,0.624963883270731,0.524992776654146,0.401618029471251,0.274198208610228,0.182028315515747,0.108639121641144,0.0609650390060676,0.0375613984397573,0.0158913608783589,5.09140714618549,1.08601789859416,0.0793947245413615,0.535732292342172,0.213304076341215,0.0155938667369874,112.609771881402
931,3860,30.36,0,0.801295336787565,0.576165803108808,12.8547150259067,16.105432661028,-1.18889541945319,-0.0934456610833713,0.683516766981196,0.416460464149302,15.5699953760546,17.4458555870242,0,2.284,7.1,10.96,13.68,16.164,18.75,21.49,24.322,26.1505,28.59,10.3004232059921,0.788341968911917,0.725129533678756,0.655181347150259,0.549740932642487,0.44196891191709903,0.320466321243523,0.209585492227979,0.102072538860104,0.0253886010362694,5.04290466267537,-0.0929905891158135,-0.0482598866059686,0.392299996733663,-0.0184398864019928,-0.00956985900668716,226.784224748451
967,2866,20.2,0,0.499302163293789,0.773203070481507,4.38840544312631,8.8572150997151,-0.59937377459863606,0.787813527304503,1.16535280946009,0.423388970815144,6.73812943710902,9.61785303159296,0,0,0,0,1.955,5.03,7.34,9.58,12.015,13.92,17.6775,2.19114033116321,0.499302163293789,0.437543614794138,0.367062107466853,0.268318213538032,0.173761339846476,0.096301465457083,0.0443126308443824,0.0174459176552687,0.00453593859036985,2.72501237594521,0.822794596264144,-0.0764782301645791,0.620957295596624,0.301941599798696,-0.0280652781028385,39.05281898013
1038,3157,27,0,0.793474817865062,0.524865378523915,11.3904371238518,14.4421998388396,-1.2079173980387,-0.129223926532873,0.68140668238504,0.397676304913348,13.7827489404703,15.5418653476696,0,1.236,6.766,9.71,11.95,14.44,16.92,19.23,21.324,22.564,25.1876,9.03802502225171,0.783021856192588,0.735191637630662,0.658853341780171,0.547671840354767,0.438707633829585,0.334494773519164,0.217928413050364,0.0890085524231866,0.018688628444726,4.44950050444162,-0.126112573553416,-0.0736711162449251,0.390634745274551,-0.0283430855727574,-0.016557165500124,145.657419132672
1094,4593,23.44,0,0.63879817112998,0.564337034617897,7.22633790550838,11.4253230876703,-1.25629535023259,0.346167352718024,0.918891028180979,0.426160346997116,9.81340115879838,12.4192221748052,0,0,0.33,3.21400000000001,6.33,9.51,12.034,14.11,16.5,18.174,21.2524,4.61617143800601,0.629871543653386,0.54844328325713,0.482473328978881,0.405181798388853,0.310037012845635,0.202482037883736,0.103418245155672,0.0350533420422382,0.0111038536903984,3.73639968430219,0.517454702634805,-0.265803488929133,0.51705299878851,0.138490190117721,-0.0711389335690873,131.422425054181
1273,4674,28.74,0,0.739409499358152,0.491869918699187,9.87324989302525,13.5317896296296,-1.15552308672715,0.183539203707907,0.789767085922137,0.442534223580805,12.580545235444,14.797236333556,0,0.266,3.13,6.984,10.29,12.788,15.001,17.204,20.35,22.657,25.9854,7.30037476043972,0.708386820710312,0.63329054343175,0.55198973042362,0.455284552845528,0.328840393667095,0.19854514334617,0.10676080445015,0.043859649122807,0.0115532734274711,4.45265023188318,0.280119016508758,-0.131514267980909,0.450981214911683,0.0629106266876674,-0.0295361775868228,181.623378699702
