layer,level,class,id,metric,value
1,landscape,NA,NA,ai,91.28250772664114
1,landscape,NA,NA,area_cv,14226.789962944891
1,landscape,NA,NA,area_mn,8.121671911880409
1,landscape,NA,NA,area_sd,1155.4532043827164
1,landscape,NA,NA,cai_cv,276.25543010423155
1,landscape,NA,NA,cai_mn,4.531906129123585
1,landscape,NA,NA,cai_sd,12.51963676893039
1,landscape,NA,NA,circle_cv,31.43569861756621
1,landscape,NA,NA,circle_mn,0.5137445762137899
1,landscape,NA,NA,circle_sd,0.16149919664265971
1,landscape,NA,NA,cohesion,99.83827172358284
1,landscape,NA,NA,condent,0.513774816515274
1,landscape,NA,NA,contag,66.51669752154643
1,landscape,NA,NA,contig_cv,116.47938438670798
1,landscape,NA,NA,contig_mn,0.2055993336218376
1,landscape,NA,NA,contig_sd,0.23948083810589035
1,landscape,NA,NA,core_cv,15957.626855849465
1,landscape,NA,NA,core_mn,6.46727248885392
1,landscape,NA,NA,core_sd,1032.0232115223173
1,landscape,NA,NA,dcad,4.524393089533129
1,landscape,NA,NA,dcore_cv,2135.6083140629776
1,landscape,NA,NA,dcore_mn,0.36745636273567045
1,landscape,NA,NA,dcore_sd,7.84742863313639
1,landscape,NA,NA,division,0.7050898918154251
1,landscape,NA,NA,ed,57.740315372443575
1,landscape,NA,NA,enn_cv,162.31911208778737
1,landscape,NA,NA,enn_mn,141.98527260930823
1,landscape,NA,NA,enn_sd,230.4692337948535
1,landscape,NA,NA,ent,1.3662154638773303
1,landscape,NA,NA,frac_cv,5.836466725480169
1,landscape,NA,NA,frac_mn,1.0487024151679396
1,landscape,NA,NA,frac_sd,0.06120716751058369
1,landscape,NA,NA,gyrate_cv,521.6956525376024
1,landscape,NA,NA,gyrate_mn,33.89686052122651
1,landscape,NA,NA,gyrate_sd,176.8384476859736
1,landscape,NA,NA,iji,68.61608339258726
1,landscape,NA,NA,joinent,1.8799902803926043
1,landscape,NA,NA,lpi,53.13510571499197
1,landscape,NA,NA,lsi,110.862896745681
1,landscape,NA,NA,mesh,164389.62709985182
1,landscape,NA,NA,msidi,0.5448938619823073
1,landscape,NA,NA,msiei,0.28002005244015943
1,landscape,NA,NA,mutinf,0.8524406473620563
1,landscape,NA,NA,ndca,25220
1,landscape,NA,NA,np,68634
1,landscape,NA,NA,pafrac,1.4262437038867863
1,landscape,NA,NA,para_cv,33.16796706397741
1,landscape,NA,NA,para_mn,0.10336710323706631
1,landscape,NA,NA,para_sd,0.034284766756657675
1,landscape,NA,NA,pd,12.312735737788136
1,landscape,NA,NA,pladj,91.32813944826462
1,landscape,NA,NA,pr,7
1,landscape,NA,NA,prd,0.001255779208038537
1,landscape,NA,NA,relmutinf,0.6239430528350359
1,landscape,NA,NA,rpr,NA
1,landscape,NA,NA,shape_cv,50.85073713183275
1,landscape,NA,NA,shape_mn,1.3368240764037571
1,landscape,NA,NA,shape_sd,0.6797848970071256
1,landscape,NA,NA,shdi,0.9470597113047418
1,landscape,NA,NA,shei,0.4866924157646815
1,landscape,NA,NA,sidi,0.4200966701365395
1,landscape,NA,NA,siei,0.49011278182596274
1,landscape,NA,NA,split,3.3908637657619116
1,landscape,NA,NA,ta,557422.83
1,landscape,NA,NA,tca,443874.78
1,landscape,NA,NA,te,32185770
