PLOT,n,max,min,cancov,rpc1,zmean,zmean_c,z_kurt,z_skew,cv,cv_c,quad_mean,quad_mean_c,h10,h20,h30,h40,h50,h60,h70,h80,h90,h95,h99,hvol,d10,d20,d30,d40,d50,d60,d70,d80,d90,L2,L3,L4,L_cv,L_skew,L_kurt,agb_mgha
147,6951,20.61,0,0.427708243418213,0.664508703783628,3.64628686519925,8.63640473627557,0.242949305091558,1.18678356384577,1.32948913440698,0.469853509733104,6.06565828379472,9.54189107320767,0,0,0.02,0.07,0.55,2.52,5.01,8.45,11.73,13.59,17.08,1.55954695011328,0.424111638613149,0.341677456481082,0.260250323694432,0.206445115810675,0.141274636742915,0.0818587253632571,0.0349589987052223,0.0129477772982305,0.00417206157387426,2.46221809770138,1.00628820452493,0.135987808597164,0.675267248224814,0.408691742402654,0.0552297981743033,57.1511209879454
324,12054,26.44,0,0.389331342293015,0.567861290857807,4.19031192964991,10.9370264856443,0.752285871302789,1.36355426640086,1.47478410664207,0.496521613469032,7.4662936620933,12.2107325590364,0,0,0.01,0.05,0.08,1.69,5.591,9.864,14.287,17.56,22.4794,1.63141976819703,0.367512858802057,0.307864609258337,0.247220839555334,0.184337149493944,0.120789779326365,0.0720092915214867,0.0399037663846026,0.0172556827609092,0.00464576074332172,3.00470799266075,1.42415154901834,0.30772603689149,0.71706069693761,0.473973361969597,0.102414623199039,122.536168337563
345,10795,29.77,0,0.644094488188976,0.418156553960167,11.1584085224641,17.3598340548341,-1.575889033524,-0.00575449448814533,0.85133970507339,0.331502160338882,14.6541478587923,18.288713497666,0,0,0,7.30800000000001,12.67,16.29,18.668,20.91,23.32,24.67,26.62,7.18706942628003,0.639833256137101,0.614358499305234,0.577860120426123,0.521630384437239,0.441500694766095,0.33422880963409,0.202593793422881,0.0805928670680871,0.00861509958314034,5.32966733873303,0.204226740438545,-0.619578713966556,0.477636871602554,0.0383188532151602,-0.116250916724916,215.192821088166
524,9864,9.97,0,0.479217356042174,0.506792376317924,2.05480129764801,4.30946010511228,-1.04842609090973,0.522908251866424,1.04995083806397,0.269379820448186,2.97930954092263,4.46304498305625,0,0,0,0.07,1.67,2.69,3.51,4.35,5.11700000000001,5.74,6.72370000000001,0.984696445050908,0.531224655312247,0.480129764801298,0.358779399837794,0.247566909975669,0.114659367396594,0.0346715328467153,0.00679237631792376,0.00223033252230333,4.0551500405515e-4,1.17986570949009,0.256647735011792,-0.0844379743617945,0.574199418133809,0.21752283581723,-0.0715657499685171,7.37920310762988
593,9524,14.28,0,0.292209155816884,0.503884922301554,1.75620432591348,5.99358275520317,3.75943005142548,2.04134620221661,1.52349157723477,0.485144041914038,3.20033383817477,6.66137073799521,0,0,0,0.06,0.6,1.39,1.95,2.62,5.83,8.48,11.28,0.513178983517138,0.393112137757245,0.178601427971441,0.131667366652667,0.102792944141117,0.0724485510289794,0.0485090298194036,0.0238345233095338,0.00934481310373793,0.00241495170096598,1.23210171605137,0.609332842276717,0.250100669612304,0.701570824004487,0.494547515305395,0.202987031309253,8.79154335997061
658,7778,21.6,0,0.339804577012085,0.667909488300334,3.4618963743893,10.2561070465922,0.565934596811598,1.35869693068919,1.57567076760853,0.432313382929882,6.46032826633599,11.1731467526295,0,0,0,0,0.01,0.0519999999999982,4.459,8.846,12.583,15.5215,18.9998999999999,1.17636823315903,0.338390331704808,0.302134224736436,0.25276420673695,0.206994085883261,0.140653124196452,0.0919259449730008,0.0550269992285935,0.0253278477757778,0.00719979429159167,2.57468561092233,1.31535960747529,0.317984570764585,0.743721166806018,0.510881640032191,0.123504232678208,61.2378599887459
954,7399,24.05,0,0.221110960940668,0.752398972834167,3.14496012974726,14.543235855054,2.06605948196376,1.91722479843304,2.0974644939872,0.431221823844328,7.30738962101983,15.8370032166336,0,0,0,0,0,0.04,0.06,3.78,16.814,19.781,22.5004,0.695385156408504,0.214623597783484,0.185700770374375,0.170158129476956,0.157859170158129,0.141640762265171,0.128666035950804,0.0997432085416948,0.0605487228003784,0.0228409244492499,2.62160860825212,1.76737511107132,0.870615385855325,0.833590411355326,0.674156739304295,0.332092053373208,37.4285950751834
1068,5188,15.8,0,0.548766383962992,0.528720123361604,3.05435427910563,5.69500753012048,0.65776695014017,1.07704404334792,1.1056906381673,0.483440153638864,4.55325874178288,6.32537281628998,0,0,0,0.31,2.58,3.46,4.469,5.606,7.623,10.1365,13.19,1.67612695308669,0.555127216653817,0.433114880493446,0.273515805705474,0.152081727062452,0.0940632228218967,0.0626445643793369,0.0343099460292984,0.014070932922128,0.00289128758673863,1.79360712921917,0.515589401975278,0.071629464493296,0.587229563213723,0.287459496327792,0.0399359833747312,27.9413971683321
1301,4607,23.09,0,0.702192316040808,0.487518992836987,7.15393965704363,10.2869835754896,-1.02158561919408,0.260294072264866,0.822924751767625,0.422222467208906,9.26444342653529,11.1660717194416,0,0,2.08,4.918,7.45,9.226,10.9,12.76,15,16.587,20.7728,5.02344145659565,0.693292815281094,0.610158454525722,0.523768178858259,0.399609290210549,0.263512046885175,0.147818537008899,0.061428261341437,0.0227914043846321,0.00998480573041025,3.34423495613209,0.281270339917649,-0.0969332620502084,0.467467593585224,0.0841060342969929,-0.0289851829556618,99.9641576828606
1312,10049,24.69,0,0.52602248979998,0.45218429694497,6.94634690018907,13.3647201852567,-1.23713019617909,0.56243230916269,1.10823176456486,0.407706434830329,10.3685843060417,14.4326136142799,0,0,0,0.03,3.32,8.28,12.56,15.78,18.63,20.126,22.7904,3.65393469145183,0.516568812817196,0.472882873917803,0.420937406707135,0.367399741267788,0.306100109463628,0.232958503333665,0.144591501641954,0.0612001194148672,0.015125883172455,4.16646955138768,1.05040079091792,-0.334413048862625,0.599807296015445,0.252108116467111,-0.0802629287789335,166.267829503984
