layer,level,class,id,metric,value
1,landscape,NA,NA,ai,87.37830987962279
1,landscape,NA,NA,area_cv,4738.9504286887595
1,landscape,NA,NA,area_mn,5.060050818269221
1,landscape,NA,NA,area_sd,239.79329994423833
1,landscape,NA,NA,cai_cv,297.0838984352155
1,landscape,NA,NA,cai_mn,4.349021372169071
1,landscape,NA,NA,cai_sd,12.920242236220579
1,landscape,NA,NA,circle_cv,31.420426954101416
1,landscape,NA,NA,circle_mn,0.5076002318524818
1,landscape,NA,NA,circle_sd,0.15949016006805847
1,landscape,NA,NA,cohesion,99.30861864020848
1,landscape,NA,NA,condent,0.7112861721210932
1,landscape,NA,NA,contag,56.39601550541884
1,landscape,NA,NA,contig_cv,122.79627191181329
1,landscape,NA,NA,contig_mn,0.19224895920639956
1,landscape,NA,NA,contig_sd,0.2360745546947214
1,landscape,NA,NA,core_cv,5557.705011012221
1,landscape,NA,NA,core_mn,3.581075001848898
1,landscape,NA,NA,core_sd,199.0255848258622
1,landscape,NA,NA,dcad,6.33859598825211
1,landscape,NA,NA,dcore_cv,1141.5502040257227
1,landscape,NA,NA,dcore_mn,0.32073617817033095
1,landscape,NA,NA,dcore_sd,3.6613644962877188
1,landscape,NA,NA,division,0.9762628879804823
1,landscape,NA,NA,ed,83.98923645516595
1,landscape,NA,NA,enn_cv,137.10236725928047
1,landscape,NA,NA,enn_mn,122.94139076859184
1,landscape,NA,NA,enn_sd,168.55555708522192
1,landscape,NA,NA,ent,1.736951037722625
1,landscape,NA,NA,frac_cv,5.603193321451293
1,landscape,NA,NA,frac_mn,1.0450690834798881
1,landscape,NA,NA,frac_sd,0.058557241090097335
1,landscape,NA,NA,gyrate_cv,409.1162206019139
1,landscape,NA,NA,gyrate_mn,32.99631260069343
1,landscape,NA,NA,gyrate_sd,134.99326704995002
1,landscape,NA,NA,iji,66.4082872150675
1,landscape,NA,NA,joinent,2.448237209843718
1,landscape,NA,NA,lpi,7.770020837941173
1,landscape,NA,NA,lsi,147.55407455570005
1,landscape,NA,NA,mesh,11368.625607691221
1,landscape,NA,NA,msidi,0.9914085265267709
1,landscape,NA,NA,msiei,0.5094831983933445
1,landscape,NA,NA,mutinf,1.0256648656015317
1,landscape,NA,NA,ndca,30358
1,landscape,NA,NA,np,94651
1,landscape,NA,NA,pafrac,1.4098750176663033
1,landscape,NA,NA,para_cv,32.25664245638634
1,landscape,NA,NA,para_mn,0.10510372537071493
1,landscape,NA,NA,para_sd,0.03390293290117373
1,landscape,NA,NA,pd,19.762647370842956
1,landscape,NA,NA,pladj,87.38930845410854
1,landscape,NA,NA,pr,7
1,landscape,NA,NA,prd,0.0014615643954728498
1,landscape,NA,NA,relmutinf,0.5904972813432412
1,landscape,NA,NA,rpr,NA
1,landscape,NA,NA,shape_cv,50.57940528270696
1,landscape,NA,NA,shape_mn,1.3081201525323958
1,landscape,NA,NA,shape_sd,0.6616393935341248
1,landscape,NA,NA,shdi,1.2040030987636976
1,landscape,NA,NA,shei,0.6187351966627075
1,landscape,NA,NA,sidi,0.6289463161827596
1,landscape,NA,NA,siei,0.7337707022132195
1,landscape,NA,NA,split,42.12812406065896
1,landscape,NA,NA,ta,478938.87000000017
1,landscape,NA,NA,tca,338952.33
1,landscape,NA,NA,te,40225710
