PLOT,n,max,min,cancov,rpc1,zmean,zmean_c,z_kurt,z_skew,cv,cv_c,quad_mean,quad_mean_c,h10,h20,h30,h40,h50,h60,h70,h80,h90,h95,h99,hvol,d10,d20,d30,d40,d50,d60,d70,d80,d90,L2,L3,L4,L_cv,L_skew,L_kurt,agb_mgha
105,1649,26.53,0,0.26561552456034,0.821103699211643,4.38038811400849,16.5152631578947,0.674001366021931,1.50687695177973,1.81253143212462,0.370491622633508,9.06568695954776,17.6098707823269,0,0,0,0,0,0,0,11.234,19.634,22.772,25.286,1.16349908668024,0.265009096422074,0.255306246209824,0.235294117647059,0.206791995148575,0.177683444511825,0.157064887810794,0.11340206185567,0.0733778047301395,0.031534263189812,3.46644062744705,2.05122388823733,0.717530104016602,0.791354678449923,0.591737781976092,0.206993334412032,83.2453234151222
388,1931,26.18,0,0.491455204557224,0.634904194717763,6.6613205592957,13.6218365180467,-0.943264766263585,0.726267038485423,1.18967119743307,0.428380180948451,10.3509818681315,14.8178708991209,0,0,0,0,0,7.47,11.64,15.09,19.26,21.53,23.978,3.27374065808991,0.486794407042983,0.44432936302434,0.394096323148628,0.327291558777835,0.25530813050233,0.189539098912481,0.124287933713102,0.0611082340756085,0.0150181253236665,4.20524731742527,1.30456829812823,-0.183588058314983,0.631293341912055,0.310223917799672,-0.0436568992159509,76.9439395985169
688,1878,27.9,0,0.468583599574015,0.654419595314164,5.52591586794462,11.8052337514253,-0.237671723903752,0.927848447406972,1.24045276804947,0.43667337129916,8.8032257768847,12.8805120005249,0,0,0,0,0,6.13,9.518,12.27,15.313,18.564,24.0937,2.58935354834466,0.462193823216188,0.419062832800852,0.339190628328009,0.242811501597444,0.135250266240682,0.077209797657082,0.0436634717784878,0.0228966986155485,0.00479233226837061,3.57057799901617,1.23036586895338,-0.00968517624908537,0.646151350173244,0.344584509648686,-0.00271249535838567,114.637784410492
900,2231,24.31,0,0.583146571044375,0.579112505602869,6.90999103541013,11.967431264729,-1.03297960188117,0.606944766072087,1.04989459056824,0.476090288646463,10.0177821793955,13.2535392714829,0,0,0,1.43,4.73,7.78,11.57,14.81,17.88,19.985,22.645,4.02953757824679,0.572389063200359,0.494845360824742,0.414164051994621,0.347826086956522,0.282384580905424,0.207978484984312,0.128193635141192,0.0645450470640968,0.0183774092335276,3.98722642825414,0.941571564790995,-0.208457989801757,0.577023386545896,0.236147001363872,-0.0522814526721106,147.962477070741
1016,1359,10.64,0,0.145695364238411,0.8373804267844,0.977247976453275,6.7239378238342,4.10268576880169,2.36807045446911,2.51958838054831,0.294569028020466,2.64826165094975,7.00814115775693,0,0,0,0,0,0,0,0,5.742,7.74,9.381,0.14238049988061,0.153789551140545,0.144959529065489,0.131714495952907,0.120676968359088,0.10448859455482,0.0897718910963944,0.0603384841795438,0.0228108903605592,0.00735835172921266,0.858155231961472,0.651012100187039,0.40745819452973,0.878134570384044,0.758618110034744,0.474807097077773,20.1161469525315
1121,1489,11.7,0,0.114170584284755,0.908663532572196,0.48063801208865,4.44007299270073,16.653390593445,3.77528707739691,3.02732612521262,0.460020574367222,1.53191244596707,4.88423017266407,0,0,0,0,0,0,0,0,2.352,3.636,7.4336,0.0548747226696243,0.126259234385494,0.10073875083949,0.0537273337810611,0.0235057085292142,0.0154466084620551,0.0147750167897918,0.0073875083948959,0.00402955003357958,0.00134318334452653,0.436239601161204,0.357255811642,0.260467093521481,0.907626093212,0.818944017670653,0.597073472532426,1.25971675949769
1128,1931,27.07,0,0.494044536509581,0.615743138270326,6.34984981874676,12.9186772486772,-0.487887500926724,0.9219612670301,1.22874502496861,0.48824308114211,10.0581149184162,14.3747733287857,0,0,0,0,1.23,6.87,9.52,12.88,20.28,22,24.338,3.13710861060819,0.487830139823925,0.4360435007768,0.35370274469187,0.259451061626101,0.186949766960124,0.163127912998446,0.127912998446401,0.0605903676851372,0.00983946141895391,4.08913044598224,1.41654465874331,0.00612978531615311,0.643972780885279,0.34641708731379,0.00149904372020607,181.083560256892
1606,1206,20.4,0,0.0505804311774461,0.945273631840796,0.695339966832504,13.674,21.7176836086809,4.75805663588388,4.56638403251541,0.36723281124417,3.2491483767488,14.5524530578181,0,0,0,0,0,0,0,0,0,2.07,17.8075,0.0351705953372991,0.0505804311774461,0.0464344941956882,0.0422885572139304,0.0406301824212272,0.0389718076285241,0.0339966832504146,0.027363184079602,0.0199004975124378,0.00746268656716418,0.667223302574266,0.613415814006526,0.538496853667227,0.959564147612111,0.91935610108319,0.807071413108042,17.9032730405639
1809,2794,21.11,0,0.49713672154617,0.581245526127416,4.99873299928418,10.1638200589971,-0.843754016908861,0.755798997728184,1.1722307038073,0.425447099746811,7.7013476170155,11.0448121606353,0,0,0,0,1.91,5.67,8.381,11.33,14.354,16.234,18.0014,2.48505373514879,0.493915533285612,0.44201861130995,0.372226198997853,0.29563350035791,0.222977809591983,0.149964209019327,0.0934144595561918,0.0318539727988547,0.00178954903364352,3.12570576917803,0.958007513333376,-0.109578021890029,0.625299604844995,0.306493183965074,-0.0350570495056047,163.031086410608
2610,2025,17.86,0,0.395555555555556,0.639012345679012,3.13715555555556,7.96302872062663,0.283015197413523,1.23865357696914,1.40871862361968,0.464543610528854,5.41875691635254,8.77928536021192,0,0,0,0,0.06,1.858,4.148,7.09,10.856,12.458,15.024,1.24091930864198,0.402469135802469,0.331358024691358,0.258765432098766,0.198518518518519,0.156543209876543,0.104691358024691,0.0488888888888889,0.017283950617284,0.00641975308641975,2.19819032352511,0.975508560534963,0.160448189907131,0.700695354309848,0.443778025085015,0.072991036394806,125.210811444103
