layer,level,class,id,metric,value
1,landscape,NA,NA,ai,84.92343713726592
1,landscape,NA,NA,area_cv,9061.061196102672
1,landscape,NA,NA,area_mn,4.219087578070784
1,landscape,NA,NA,area_sd,382.2941073661598
1,landscape,NA,NA,cai_cv,287.8130342221751
1,landscape,NA,NA,cai_mn,4.0136205297603045
1,landscape,NA,NA,cai_sd,11.55172302886727
1,landscape,NA,NA,circle_cv,31.03213082438039
1,landscape,NA,NA,circle_mn,0.5137077196494705
1,landscape,NA,NA,circle_sd,0.15941445161656492
1,landscape,NA,NA,cohesion,99.56524165868568
1,landscape,NA,NA,condent,0.815125104855122
1,landscape,NA,NA,contag,47.07940696101287
1,landscape,NA,NA,contig_cv,115.47224821466178
1,landscape,NA,NA,contig_mn,0.20138801816193347
1,landscape,NA,NA,contig_sd,0.23254727220653595
1,landscape,NA,NA,core_cv,10973.491356088316
1,landscape,NA,NA,core_mn,2.784224011103401
1,landscape,NA,NA,core_sd,305.5265811925671
1,landscape,NA,NA,dcad,9.577767027256517
1,landscape,NA,NA,dcore_cv,2345.263202493267
1,landscape,NA,NA,dcore_mn,0.4040943789035392
1,landscape,NA,NA,dcore_sd,9.47707677176842
1,landscape,NA,NA,division,0.886035127725508
1,landscape,NA,NA,ed,100.16577777488288
1,landscape,NA,NA,enn_cv,134.48331362066483
1,landscape,NA,NA,enn_mn,109.19274111445357
1,landscape,NA,NA,enn_sd,146.84601648395122
1,landscape,NA,NA,ent,2.1562126420690353
1,landscape,NA,NA,frac_cv,5.979472801523575
1,landscape,NA,NA,frac_mn,1.049432041002831
1,landscape,NA,NA,frac_sd,0.06275050346223801
1,landscape,NA,NA,gyrate_cv,337.19335992542545
1,landscape,NA,NA,gyrate_mn,33.115771901571705
1,landscape,NA,NA,gyrate_sd,111.6641839401496
1,landscape,NA,NA,iji,67.38335980852558
1,landscape,NA,NA,joinent,2.9713377469241573
1,landscape,NA,NA,lpi,32.78545150511574
1,landscape,NA,NA,lsi,140.9251904243743
1,landscape,NA,NA,mesh,34643.64132922826
1,landscape,NA,NA,msidi,1.207218398156118
1,landscape,NA,NA,msiei,0.6203875336906948
1,landscape,NA,NA,mutinf,1.3410875372139133
1,landscape,NA,NA,ndca,29115
1,landscape,NA,NA,np,72050
1,landscape,NA,NA,pafrac,1.4498210995676375
1,landscape,NA,NA,para_cv,32.24633253718895
1,landscape,NA,NA,para_mn,0.10371962364161222
1,landscape,NA,NA,para_sd,0.033445774745795125
1,landscape,NA,NA,pd,23.7018071205163
1,landscape,NA,NA,pladj,84.95161141339923
1,landscape,NA,NA,pr,7
1,landscape,NA,NA,prd,0.002302743231694852
1,landscape,NA,NA,relmutinf,0.6219644162400638
1,landscape,NA,NA,rpr,NA
1,landscape,NA,NA,shape_cv,54.327326756641654
1,landscape,NA,NA,shape_mn,1.3516443674367649
1,landscape,NA,NA,shape_sd,0.7343122520851133
1,landscape,NA,NA,shdi,1.4945602382513044
1,landscape,NA,NA,shei,0.768052029009085
1,landscape,NA,NA,sidi,0.7009720997752066
1,landscape,NA,NA,siei,0.8178007830710743
1,landscape,NA,NA,split,8.77463362211676
1,landscape,NA,NA,ta,303985.26000000007
1,landscape,NA,NA,tca,200603.34
1,landscape,NA,NA,te,30448920
