PLOT,n,max,min,cancov,rpc1,zmean,zmean_c,z_kurt,z_skew,cv,cv_c,quad_mean,quad_mean_c,h10,h20,h30,h40,h50,h60,h70,h80,h90,h95,h99,hvol,d10,d20,d30,d40,d50,d60,d70,d80,d90,L2,L3,L4,L_cv,L_skew,L_kurt,agb_mgha
6,12455,22.48,0,0.829706945002007,0.497069450020072,11.5158964271377,13.8881596581529,-1.02214153835293,-0.539092213485838,0.578236744062331,0.330921186068747,13.3023852046043,14.6287763661313,0.12,4.598,8.562,10.8,12.8,15.42,16.92,17.8,18.8,19.42,20.7346,9.55481924351995,0.828582898434364,0.802649538338017,0.757446808510638,0.681573665194701,0.578723404255319,0.474989963869932,0.389160979526295,0.17792051384986,0.0184664793255721,3.73959716575947,-0.587890671448403,-0.0321832023336959,0.324733483790889,-0.157206951815894,-0.00860606127001379,156.301331832937
77,6669,15.01,0,0.460188933873145,0.801769380716749,3.51698605488079,7.61884490824038,-0.367496499043549,0.990040058997936,1.16870000466537,0.432723737876952,5.40936567510901,8.30133361132537,0,0,0.07,0.95,1.62,2.74,5.15,7.66,10.71,11.836,13.54,1.61847806304231,0.517918728445044,0.382066276803119,0.319988004198531,0.265407107512371,0.204528415054731,0.153996101364522,0.107812265707003,0.0410856200329885,0.0106462738041685,2.17325488163726,0.728999822634302,0.0563444129362715,0.617931048836906,0.335441474809939,0.0259262792470175,40.8108434667279
292,3331,9.83,0,0.456619633743621,0.960372260582408,1.93287601320925,3.82950124688279,0.480422487446699,0.75053189109694,0.896950322970378,0.297369038409497,2.59630533855086,3.99509831630474,0,0.01,0.21,1.32,1.81,2.3,2.84,3.49,4.21,4.75,7.07799999999999,0.882589137223436,0.641549084359051,0.464425097568298,0.281597117982588,0.132993095166617,0.0411287901531072,0.0192134494145902,0.0114079855899129,0.0054037826478535,0.00240168117682378,0.959079011163671,0.150688653949331,0.0164337700041553,0.496192722455728,0.157118081195936,0.0171349490634936,0
387,5193,27.95,0,0.969189293279415,0.776237242441749,15.014020797227,15.5237365484257,-0.802691308653435,-0.0631783917032011,0.427756737366466,0.380863345720238,16.3297103062698,16.6113264641678,7.802,9.75,10.996,12.078,13.57,15.976,20.224,22.11,23.64,24.508,26.1716,14.5514282057469,0.965145388022338,0.949162333911034,0.884652416714808,0.68264972077797,0.469863277488927,0.393029077604468,0.325823223570191,0.186019641825534,0.0263816676295013,3.63830596820955,0.0478776235579723,0.109656614944439,0.242327223156739,0.0131593175440199,0.0301394703751103,105.711796857913
523,4666,14.42,0,0.66652378911273,0.747749678525504,4.76059365623661,7.1971285475793,-1.09027514953249,0.302040669768013,0.836673771138822,0.390265901378358,6.20682281732295,7.72562930210365,0,0.13,0.81,3.28,4.57,6.02,7.235,8.68,10.37,11.565,13.18,3.17304892218085,0.682597513930562,0.621945992284612,0.518859837119589,0.41405915130733,0.301114444920703,0.200814402057437,0.113801971710244,0.0510072867552508,0.0156450921560223,2.26447814777398,0.234549897375608,-0.0665559765815284,0.475671378675096,0.103577902752639,-0.0293913088306699,14.1372235124616
809,5543,28.16,0,0.926032834205304,0.630705394190871,14.7634746527151,15.9800195503421,-0.412609961405094,-0.412002271237016,0.466390389083495,0.355012592184844,16.2899456311796,16.9569716917278,5.1,9.52,11.92,13.38,14.96,16.704,18.95,21.676,23.358,24.91,26.4658,13.671462275372,0.920440194840339,0.892837813458416,0.829695110950749,0.731553310481689,0.548619880930904,0.388959047447231,0.276745444705033,0.152985747790005,0.0359011365686451,3.89260353537935,-0.311566332731871,0.377160026165081,0.263664457517354,-0.080040602619837,0.096891456511593,140.893463952302
1203,10166,27.26,0,0.78428093645485,0.587546724375369,12.0818748770411,15.6720514810503,-1.34292141982677,-0.185405006737654,0.680889671889025,0.377372398056524,14.6163980694322,16.7507143361773,0.18,1.74,5.52,10.74,13.77,15.89,17.955,20.21,22.43,23.69,25.55,9.47558414269613,0.75388550068857,0.702046035805627,0.660141648632697,0.594924257328349,0.505213456620106,0.372909698996656,0.245229195357073,0.12502459177651,0.0281329923273657,4.70013914750508,-0.22392911232315,-0.180330757707224,0.389023988026612,-0.0476430814696233,-0.0383671104296873,135.004518476406
1419,6615,21.95,0,0.828722600151172,0.518216175359033,12.1323552532124,14.7222922424912,-1.01622778607449,-0.713727849577293,0.569217648237269,0.309003585457788,13.9599065077534,15.4090126195584,0.06,3.66,9.22,12.33,15.18,16.77,17.61,18.25,18.79,19.15,19.7486,10.0543569913999,0.825850340136054,0.784278155706727,0.74875283446712,0.709145880574452,0.649281934996221,0.571579743008314,0.491912320483749,0.305820105820106,0.00997732426303855,3.77028202162161,-0.899948889222603,-0.094658383108435,0.310762580136559,-0.238695377179114,-0.0251064462991345,182.79157778442
1682,7509,21.14,0,0.631908376614729,0.76681315754428,8.06704754294846,12.7778162618796,-1.58605882767196,0.0014869660008854,0.861664107466337,0.318211195468276,10.6483993433931,13.4090198062622,0,0,0.03,4.942,9.42,11.648,13.51,15.284,17.01,17.99,19.4184,5.0976349169384,0.631642029564523,0.605007324543881,0.578106272473032,0.531628712212012,0.455852976428286,0.344519909442003,0.222932481022773,0.105340258356639,0.0163803435876948,3.88985034651722,0.171653104492398,-0.461958957085985,0.482190085754163,0.0441284597609487,-0.118760084819098,38.5674532972222
1810,7117,18.48,0,0.215961781649571,0.921736686806238,1.59678656737389,7.00389204545455,5.46137758923544,2.31918176299077,1.9017501742968,0.431215931014448,3.43073061218318,7.62689792884666,0,0,0,0.03,0.08,0.18,0.86,2.4,6.56,8.052,13.5184,0.344844872004169,0.220317549529296,0.17479274975411,0.137276942531966,0.0730644934663482,0.0289447801039764,0.0196712097794014,0.0127862863566109,0.00646339749894618,0.00351271603203597,1.26645846903396,0.78752671476717,0.370522372985091,0.793129460699809,0.621833825603369,0.292565750906718,17.4987003666255
