layer,level,class,id,metric,value
1,landscape,NA,NA,ai,89.87127133314378
1,landscape,NA,NA,area_cv,5593.440479195292
1,landscape,NA,NA,area_mn,7.35134975553715
1,landscape,NA,NA,area_sd,411.1933729934391
1,landscape,NA,NA,cai_cv,275.62438997556137
1,landscape,NA,NA,cai_mn,5.060685234106676
1,landscape,NA,NA,cai_sd,13.948482805089833
1,landscape,NA,NA,circle_cv,31.933870496317464
1,landscape,NA,NA,circle_mn,0.510818513221949
1,landscape,NA,NA,circle_sd,0.16312412248351152
1,landscape,NA,NA,cohesion,99.54254855074878
1,landscape,NA,NA,condent,0.601273765351706
1,landscape,NA,NA,contag,61.932892874277016
1,landscape,NA,NA,contig_cv,120.28684011314672
1,landscape,NA,NA,contig_mn,0.20540031483175353
1,landscape,NA,NA,contig_sd,0.24706954829357136
1,landscape,NA,NA,core_cv,6461.358967891518
1,landscape,NA,NA,core_mn,5.570809799887788
1,landscape,NA,NA,core_sd,359.95001858922905
1,landscape,NA,NA,dcad,4.992482927812665
1,landscape,NA,NA,dcore_cv,1230.7185407466652
1,landscape,NA,NA,dcore_mn,0.36701488150899036
1,landscape,NA,NA,dcore_sd,4.516920194030549
1,landscape,NA,NA,division,0.9163863835449099
1,landscape,NA,NA,ed,67.47669402337972
1,landscape,NA,NA,enn_cv,141.8303383435195
1,landscape,NA,NA,enn_mn,146.8864024106411
1,landscape,NA,NA,enn_sd,208.32948151963583
1,landscape,NA,NA,ent,1.5360838458061439
1,landscape,NA,NA,frac_cv,5.615581383698989
1,landscape,NA,NA,frac_mn,1.0457341126459077
1,landscape,NA,NA,frac_sd,0.05872405015273341
1,landscape,NA,NA,gyrate_cv,466.93986955762574
1,landscape,NA,NA,gyrate_mn,36.76578956192008
1,landscape,NA,NA,gyrate_sd,171.6741298222608
1,landscape,NA,NA,iji,64.56197383352331
1,landscape,NA,NA,joinent,2.13735761115785
1,landscape,NA,NA,lpi,17.62782593450416
1,landscape,NA,NA,lsi,90.25157232704403
1,landscape,NA,NA,mesh,23006.593429590455
1,landscape,NA,NA,msidi,0.854638994225806
1,landscape,NA,NA,msiei,0.43919756245719266
1,landscape,NA,NA,mutinf,0.9348100804544379
1,landscape,NA,NA,ndca,13737
1,landscape,NA,NA,np,37429
1,landscape,NA,NA,pafrac,1.3981168614905235
1,landscape,NA,NA,para_cv,34.21116279825614
1,landscape,NA,NA,para_mn,0.10319862040992867
1,landscape,NA,NA,para_sd,0.03530544803399509
1,landscape,NA,NA,pd,13.602944129365962
1,landscape,NA,NA,pladj,89.86812462520058
1,landscape,NA,NA,pr,7
1,landscape,NA,NA,prd,0.002544032939847758
1,landscape,NA,NA,relmutinf,0.608567092874963
1,landscape,NA,NA,rpr,NA
1,landscape,NA,NA,shape_cv,53.19533287253623
1,landscape,NA,NA,shape_mn,1.3193455613644725
1,landscape,NA,NA,shape_sd,0.7018302631068628
1,landscape,NA,NA,shdi,1.0648688348400537
1,landscape,NA,NA,shei,0.5472343290655114
1,landscape,NA,NA,sidi,0.5745632515141905
1,landscape,NA,NA,siei,0.6703237934332222
1,landscape,NA,NA,split,11.959774524728415
1,landscape,NA,NA,ta,275153.67000000004
1,landscape,NA,NA,tca,208509.84
1,landscape,NA,NA,te,18566460
