layer,level,class,id,metric,value
1,landscape,NA,NA,ai,90.20402417680441
1,landscape,NA,NA,area_cv,7981.0960016471145
1,landscape,NA,NA,area_mn,7.464205037620802
1,landscape,NA,NA,area_sd,595.7253698122963
1,landscape,NA,NA,cai_cv,311.72923079193436
1,landscape,NA,NA,cai_mn,4.214408271823701
1,landscape,NA,NA,cai_sd,13.137542488187677
1,landscape,NA,NA,circle_cv,31.073922446344827
1,landscape,NA,NA,circle_mn,0.4914203376728991
1,landscape,NA,NA,circle_sd,0.15270357461404255
1,landscape,NA,NA,cohesion,99.69872251850089
1,landscape,NA,NA,condent,0.5788321722791601
1,landscape,NA,NA,contag,59.85027307734215
1,landscape,NA,NA,contig_cv,131.4302441588786
1,landscape,NA,NA,contig_mn,0.17885346698754218
1,landscape,NA,NA,contig_sd,0.23506754834834598
1,landscape,NA,NA,core_cv,8910.867607830345
1,landscape,NA,NA,core_mn,5.691464748543574
1,landscape,NA,NA,core_sd,507.1588886890521
1,landscape,NA,NA,dcad,4.468564407126765
1,landscape,NA,NA,dcore_cv,2069.6685723085734
1,landscape,NA,NA,dcore_mn,0.33354280958608623
1,landscape,NA,NA,dcore_sd,6.903230705198255
1,landscape,NA,NA,division,0.89179677716808
1,landscape,NA,NA,ed,65.44303365417433
1,landscape,NA,NA,enn_cv,148.61291827933653
1,landscape,NA,NA,enn_mn,141.3350783865889
1,landscape,NA,NA,enn_sd,210.04218454269758
1,landscape,NA,NA,ent,1.6754584976326847
1,landscape,NA,NA,frac_cv,5.367306423193641
1,landscape,NA,NA,frac_mn,1.039655131193853
1,landscape,NA,NA,frac_sd,0.05580147663562996
1,landscape,NA,NA,gyrate_cv,552.7506930439768
1,landscape,NA,NA,gyrate_mn,32.243562087458585
1,landscape,NA,NA,gyrate_sd,178.22651290049228
1,landscape,NA,NA,iji,60.212762853449405
1,landscape,NA,NA,joinent,2.254290669911845
1,landscape,NA,NA,lpi,31.32533278722096
1,landscape,NA,NA,lsi,109.78404977375565
1,landscape,NA,NA,mesh,47552.07033794387
1,landscape,NA,NA,msidi,0.9002465628060836
1,landscape,NA,NA,msiei,0.46263521635011207
1,landscape,NA,NA,mutinf,1.0966263253535247
1,landscape,NA,NA,ndca,19638
1,landscape,NA,NA,np,58877
1,landscape,NA,NA,pafrac,1.3949699429667932
1,landscape,NA,NA,para_cv,31.581579714831435
1,landscape,NA,NA,para_mn,0.1069508427125186
1,landscape,NA,NA,para_sd,0.033776765646938045
1,landscape,NA,NA,pd,13.39727398912326
1,landscape,NA,NA,pladj,90.17760283407165
1,landscape,NA,NA,pr,7
1,landscape,NA,NA,prd,0.0015928277243042754
1,landscape,NA,NA,relmutinf,0.6545231212250182
1,landscape,NA,NA,rpr,NA
1,landscape,NA,NA,shape_cv,54.456011366249925
1,landscape,NA,NA,shape_mn,1.274458760995603
1,landscape,NA,NA,shape_sd,0.6940194077459335
1,landscape,NA,NA,shdi,1.1616207423977585
1,landscape,NA,NA,shei,0.5969549739805273
1,landscape,NA,NA,sidi,0.5935305728582518
1,landscape,NA,NA,siei,0.6924523350012938
1,landscape,NA,NA,split,9.241868900276415
1,landscape,NA,NA,ta,439470.0000000001
1,landscape,NA,NA,tca,335096.37
1,landscape,NA,NA,te,28760250
