layer,level,class,id,metric,value
1,landscape,NA,NA,ai,94.1751200418867
1,landscape,NA,NA,area_cv,13638.353367169011
1,landscape,NA,NA,area_mn,11.592867729620481
1,landscape,NA,NA,area_sd,1581.0762663541445
1,landscape,NA,NA,cai_cv,286.1155834194141
1,landscape,NA,NA,cai_mn,4.207835356026358
1,landscape,NA,NA,cai_sd,12.039272678223194
1,landscape,NA,NA,circle_cv,31.838743825747386
1,landscape,NA,NA,circle_mn,0.5111666422216283
1,landscape,NA,NA,circle_sd,0.1627490377396189
1,landscape,NA,NA,cohesion,99.85575671847224
1,landscape,NA,NA,condent,0.368439817743873
1,landscape,NA,NA,contag,75.23613578098211
1,landscape,NA,NA,contig_cv,118.36969349743156
1,landscape,NA,NA,contig_mn,0.1998054500483664
1,landscape,NA,NA,contig_sd,0.23650909881341503
1,landscape,NA,NA,core_cv,14750.36807405954
1,landscape,NA,NA,core_mn,9.995559735010103
1,landscape,NA,NA,core_sd,1474.3818519764804
1,landscape,NA,NA,dcad,2.912620669633818
1,landscape,NA,NA,dcore_cv,1813.663300543543
1,landscape,NA,NA,dcore_mn,0.33765626169623475
1,landscape,NA,NA,dcore_sd,6.123947700371874
1,landscape,NA,NA,division,0.6518990910983606
1,landscape,NA,NA,ed,38.72829844968449
1,landscape,NA,NA,enn_cv,156.16068614596944
1,landscape,NA,NA,enn_mn,163.29437844653305
1,landscape,NA,NA,enn_sd,255.00162181990203
1,landscape,NA,NA,ent,1.0219793043446472
1,landscape,NA,NA,frac_cv,5.68922828147558
1,landscape,NA,NA,frac_mn,1.0464247786080545
1,landscape,NA,NA,frac_sd,0.05953349444893766
1,landscape,NA,NA,gyrate_cv,600.6797406994591
1,landscape,NA,NA,gyrate_mn,33.85677348640331
1,landscape,NA,NA,gyrate_sd,203.3707791873306
1,landscape,NA,NA,iji,73.51821438284385
1,landscape,NA,NA,joinent,1.3904191220885203
1,landscape,NA,NA,lpi,57.16536162922603
1,landscape,NA,NA,lsi,78.18588033536585
1,landscape,NA,NA,mesh,215640.3257311881
1,landscape,NA,NA,msidi,0.3561310231758959
1,landscape,NA,NA,msiei,0.18301514247653616
1,landscape,NA,NA,mutinf,0.6535394866007742
1,landscape,NA,NA,ndca,18043
1,landscape,NA,NA,np,53436
1,landscape,NA,NA,pafrac,1.4203055730802456
1,landscape,NA,NA,para_cv,32.69153914728461
1,landscape,NA,NA,para_mn,0.10402353061547286
1,landscape,NA,NA,para_sd,0.0340068932335449
1,landscape,NA,NA,pd,8.625993354905098
1,landscape,NA,NA,pladj,94.1863356945157
1,landscape,NA,NA,pr,7
1,landscape,NA,NA,prd,0.0011299864040035872
1,landscape,NA,NA,relmutinf,0.6394840715682221
1,landscape,NA,NA,rpr,NA
1,landscape,NA,NA,shape_cv,48.268731173219074
1,landscape,NA,NA,shape_mn,1.3159230472361294
1,landscape,NA,NA,shape_sd,0.63517935811684
1,landscape,NA,NA,shdi,0.7086171487497624
1,landscape,NA,NA,shei,0.364157178117282
1,landscape,NA,NA,sidi,0.29961915189980937
1,landscape,NA,NA,siei,0.34955567721644426
1,landscape,NA,NA,split,2.87273021824417
1,landscape,NA,NA,ta,619476.4799999999
1,landscape,NA,NA,tca,534122.73
1,landscape,NA,NA,te,23991270
